Date,AAPL,MSFT,SPY
2021-03-23,119.866,230.176,367.938
2021-03-24,117.482,228.126,366.063
2021-03-25,117.964,225.096,368.131
2021-03-26,118.566,229.112,374.055
2021-03-29,118.742,227.911,373.874
2021-03-30,117.304,224.63,372.879
2021-03-31,119.491,228.43,374.391
2021-04-01,120.319,234.797,378.428
2021-04-05,123.167,241.322,383.856
2021-04-06,123.474,240.139,383.637
2021-04-07,125.109,242.114,384.077
2021-04-08,127.525,245.366,385.895
2021-04-09,130.106,247.876,388.699
2021-04-12,128.381,247.935,388.843
2021-04-13,131.494,250.436,390.002
2021-04-14,129.159,247.632,388.66
2021-04-15,131.563,251.423,392.843
2021-04-16,131.239,252.621,394.164
2021-04-19,131.9,250.679,392.221
2021-04-20,130.214,250.221,389.349
2021-04-21,130.599,252.468,393.034
2021-04-22,129.07,249.155,389.447
2021-04-23,131.388,253.013,393.665
2021-04-26,131.782,253.395,394.491
2021-04-27,131.455,253.805,394.403
2021-04-28,130.676,246.626,394.287
2021-04-29,130.579,244.643,396.805
2021-04-30,128.599,244.322,394.202
2021-05-03,129.662,244.007,395.045
2021-05-04,125.06,240.071,392.612
2021-05-05,125.307,238.784,392.728
2021-05-06,126.921,241.948,395.867
2021-05-07,127.591,244.593,398.748
2021-05-10,124.301,239.476,394.797
2021-05-11,123.384,238.547,391.283
2021-05-12,120.3,231.556,382.957
2021-05-13,122.457,235.464,387.569
2021-05-14,124.881,240.423,393.513
2021-05-17,123.739,237.543,392.519
2021-05-18,122.34,235.511,389.131
2021-05-19,122.183,236.096,388.115
2021-05-20,124.745,239.35,392.287
2021-05-21,122.912,238.078,391.963
2021-05-24,124.549,243.52,395.962
2021-05-25,124.351,244.437,395.083
2021-05-26,124.301,244.214,395.867
2021-05-27,122.765,242.105,396.08
2021-05-28,122.104,242.455,396.787
2021-06-01,121.779,240.248,396.433
2021-06-02,122.547,240.149,397.065
2021-06-03,121.06,238.596,395.591
2021-06-04,123.364,243.529,399.2
2021-06-07,123.374,246.481,398.814
2021-06-08,124.192,245.268,398.893
2021-06-09,124.577,246.264,398.309
2021-06-10,123.583,249.801,400.156
2021-06-11,124.785,250.436,400.826
2021-06-14,127.849,252.38,401.705
2021-06-15,127.041,250.894,400.979
2021-06-16,127.533,249.936,398.738
2021-06-17,129.139,253.346,398.605
2021-06-18,127.829,251.931,393.233
2021-06-21,129.643,255.034,398.863
2021-06-22,131.289,257.829,400.998
2021-06-23,131.013,257.604,400.519
2021-06-24,130.736,258.97,402.883
2021-06-25,130.441,257.36,404.308
2021-06-28,132.067,260.955,405.122
2021-06-29,133.595,263.553,405.342
2021-06-30,134.214,263.064,405.687
2021-07-01,134.512,263.739,407.927
2021-07-02,137.151,269.62,411.047
2021-07-06,139.164,269.63,410.301
2021-07-07,141.665,271.835,411.754
2021-07-08,140.364,269.392,408.396
2021-07-09,142.199,269.902,412.761
2021-07-12,141.595,269.294,414.236
2021-07-13,142.72,272.852,412.828
2021-07-14,146.149,274.345,413.432
2021-07-15,145.489,272.901,412.032
2021-07-16,143.45,272.626,408.798
2021-07-19,139.587,269.003,402.76
2021-07-20,143.212,271.249,408.53
2021-07-21,142.482,273.261,411.842
2021-07-22,143.854,277.861,412.702
2021-07-23,145.569,281.291,416.943
2021-07-26,145.992,280.694,417.966
2021-07-27,143.824,278.252,416.073
2021-07-28,142.072,277.941,415.899
2021-07-29,142.72,278.213,417.623
2021-07-30,142.929,276.668,415.592
2021-08-02,142.602,276.582,414.724
2021-08-03,144.396,278.818,418.093
2021-08-04,144.0,278.223,416.043
2021-08-05,144.11,281.143,418.677
2021-08-06,143.42,281.083,419.356
